Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
56,RG King,"The new IS-LM model: language, logic, and limits",444,2000, papers.ssrn.com, FRB Richmond Economic Quarterly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2126570,18
52,"AK Goel, S Rugaber, S Vattam","Structure, behavior, and function of complex systems: The structure, behavior, and function modeling language",429,2009, cambridge.org, Ai Edam,https://www.cambridge.org/core/journals/ai-edam/article/structure-behavior-and-function-of-complex-systems-the-structure-behavior-and-function-modeling-language/EA5DF462474A72AD570147F2F1DB3A3B,27
64,"C Chelba, F Jelinek",Structured language modeling,412,2000, Elsevier, Computer Speech & Language,https://www.sciencedirect.com/science/article/pii/S0885230800901475,16
21,"DR Sutton, J Fox",The Syntax and Semantics of the PROforma Guideline Modeling Language,411,2003, academic.oup.com, Journal of the American Medical Informatics …,https://academic.oup.com/jamia/article-abstract/10/5/433/785595,19
47,"CG Wesselung, DJAN KARSSENBERG…",Integrating dynamic environmental models in GIS: the development of a Dynamic Modelling language,411,1996, Wiley Online Library, Transactions in …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9671.1996.tb00032.x,14
71,"QZ Sheng, B Benatallah",ContextUML: a UML-based modeling language for model-driven development of context-aware web services,398,2005, ieeexplore.ieee.org, International Conference on Mobile …,https://ieeexplore.ieee.org/abstract/document/1493610/,20
76,H Schwetman,CSIM: A C-based process-oriented simulation language,396,1986, dl.acm.org, … of the 18th conference on Winter simulation,https://dl.acm.org/doi/abs/10.1145/318242.318464,10
89,U Frank,Multi-perspective enterprise modeling (memo) conceptual framework and modeling languages,392,2002, ieeexplore.ieee.org, Proceedings of the 35th Annual Hawaii International …,https://ieeexplore.ieee.org/abstract/document/993989/,17
32,"G Booch, J Rumbaugh, I Jacobsen",UML: unified modeling language,377,1997, people.eecs.berkeley.edu, Versão,https://people.eecs.berkeley.edu/~brewer/cs169/lecture05-uml.pdf,13
94,"H Mili, G Tremblay, GB Jaoude, É Lefebvre…",Business process modeling languages: Sorting through the alphabet soup,343,2010, dl.acm.org, ACM Computing …,https://dl.acm.org/doi/abs/10.1145/1824795.1824799,23
57,U Frank,Domain-specific modeling languages: requirements analysis and design guidelines,330,2013, Springer, … : Product lines  languages  and conceptual models,https://link.springer.com/chapter/10.1007/978-3-642-36654-3_6,28
67,F Vernadat,UEML: towards a unified enterprise modelling language,315,2002, Taylor & Francis, International Journal of Production Research,https://www.tandfonline.com/doi/abs/10.1080/00207540210159626,14
85,"JP Tolvanen, S Kelly",Defining domain-specific modeling languages to automate product derivation: Collected experiences,307,2005, Springer, International conference on software product lines,https://link.springer.com/chapter/10.1007/11554844_22,15
16,"PC Piela, TG Epperly, KM Westerberg…",ASCEND: An object-oriented computer environment for modeling and analysis: The modeling language,293,1991, Elsevier, Computers & chemical …,https://www.sciencedirect.com/science/article/pii/009813549187006U,9
43,"D Harel, B Rumpe","Modeling languages: Syntax, semantics and all that stu",283,2000, academia.edu, N/A n/a,https://www.academia.edu/download/42473429/HR00.pdf,11
53,M Hause,The SysML modelling language,277,2006, researchgate.net, Fifteenth European systems engineering conference,https://www.researchgate.net/profile/Matthew-Hause/publication/260359652_The_OMG_Modelling_Language_SYSML/links/5d706494299bf1cb80884eb5/The-OMG-Modelling-Language-SYSML.pdf,15
17,"K Siau, Q Cao",Unified modeling language: A complexity analysis,272,0,global.com,,https://www.igi-global.com/article/unified-modeling-language/3259,0
28,"R Breu, U Hinkel, C Hofmann, C Klein, B Paech…",Towards a formalization of the unified modeling language,263,1997, Springer, ECOOP'97—Object …,https://link.springer.com/chapter/10.1007/BFb0053386,9
7,"L Jacobson, JRG Booch",The unified modeling language reference manual,233,2021, debracollege.dspaces.org,,http://debracollege.dspaces.org/bitstream/123456789/404/1/UML%20Reference%20Manual%20by%20James%20Rambaugh.pdf,58
42,"D Firesmith, B Henderson-Sellers, I Graham",OPEN modeling language (OML) reference manual,224,1998, books.google.com,,https://books.google.com/books?hl=en&lr=&id=0Kw5AAAAIAAJ&oi=fnd&pg=PA3&dq=modeling+language&ots=Zo2sUsbbA1&sig=ZthwTthpNriv5Q1131H0Wt91BHk,8
82,S Issar,Estimation of language models for new spoken language applications,224,1996, ieeexplore.ieee.org, … Fourth International Conference on Spoken Language …,https://ieeexplore.ieee.org/abstract/document/607739/,8
45,"MSC Thomas, A Karmiloff-Smith",Modeling language acquisition in atypical phenotypes.,214,2003, psycnet.apa.org, Psychological review,https://psycnet.apa.org/record/2003-08987-002,10
86,"T Sommestad, M Ekstedt, H Holm",The cyber security modeling language: A tool for assessing the vulnerability of enterprise system architectures,209,2012, ieeexplore.ieee.org, IEEE Systems Journal,https://ieeexplore.ieee.org/abstract/document/6378394/,16
38,D Brutzman,The virtual reality modeling language and Java,206,1998, dl.acm.org, Communications of the ACM,https://dl.acm.org/doi/pdf/10.1145/276609.276620,8
27,M Marchesi,OOA metrics for the Unified Modeling Language,205,1998, ieeexplore.ieee.org, … of the Second Euromicro Conference on …,https://ieeexplore.ieee.org/abstract/document/665739/,8
1,"G Booch, I Jacobson, J Rumbaugh",The unified modeling language,198,1996, ccs.neu.edu, Unix Review,https://www2.ccs.neu.edu/research/demeter/course/f96/readings/uml9.pdf,7
60,"GJ Baxter, RA Blythe, W Croft…",Modeling language change: An evaluation of Trudgill's theory of the emergence of New Zealand English,195,2009, cambridge.org, Language Variation and …,https://www.cambridge.org/core/journals/language-variation-and-change/article/modeling-language-change-an-evaluation-of-trudgills-theory-of-the-emergence-of-new-zealand-english/0264FEC709F3CCFDC2CBCED0F3408230,12
51,"H Elmqvist, SE Mattsson, M Otter",Modelica: The new object-oriented modeling language,195,1998, academia.edu, 12th European Simulation …,https://www.academia.edu/download/31411522/esm98mod.pdf,7
65,"K Marriott, N Nethercote, R Rafeh, PJ Stuckey…",The design of the Zinc modelling language,189,2008, Springer, Constraints,https://link.springer.com/article/10.1007/s10601-008-9041-4,11
54,"R Pooley, P King",The unified modelling language and performance engineering,188,1999, IET,Software,https://digital-library.theiet.org/content/journals/10.1049/ip-sen_19990151,7
36,"M Patriarca, T Leppänen",Modeling language competition,175,2004, Elsevier, Physica A: Statistical Mechanics and its …,https://www.sciencedirect.com/science/article/pii/S0378437104002511,8
33,"K Baclawski, MK Kokar, PA Kogut, L Hart…",Extending the Unified Modeling Language for ontology development,165,2002, Springer, … and Systems Modeling,https://link.springer.com/article/10.1007/s10270-002-0008-4,7
22,"G Stephanopoulos, G Henning, H Leone",MODEL. LA. A modeling language for process engineering—I. The formal framework,165,1990, Elsevier, Computers & chemical …,https://www.sciencedirect.com/science/article/pii/009813549087040V,5
9,"R Karwowski, P Prusinkiewicz",Design and implementation of the L+ C modeling language,164,2003, Elsevier, Electronic notes in theoretical computer …,https://www.sciencedirect.com/science/article/pii/S1571066104806807,7
61,"F Barbier, B Henderson-Sellers…",Formalization of the whole-part relationship in the unified modeling language,160,2003, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/1199074/,7
41,"SJ Greenspan, A Borgida, J Mylopoulos",A requirements modeling language and its logic,159,1986, Elsevier, Information Systems,https://www.sciencedirect.com/science/article/pii/0306437986900207,4
49,"SE Mattsson, H Elmqvist",Modelica-An international effort to design the next generation modeling language,159,1997, Elsevier, IFAC Proceedings Volumes,https://www.sciencedirect.com/science/article/pii/S1474667017436287,6
96,"M Otter, H Elmqvist, FE Cellier",Modeling of multibody systems with the object-oriented modeling language Dymola,155,1996, Springer, Nonlinear Dynamics,https://link.springer.com/article/10.1007/BF01833295,5
69,"EM Ponti, H O'horan, Y Berzak, I Vulić…",Modeling language variation and universals: A survey on typological linguistics for natural language processing,154,2019, direct.mit.edu, Computational …,https://direct.mit.edu/coli/article-abstract/45/3/559/93372,26
97,"F Fleurey, A Solberg","A domain specific modeling language supporting specification, simulation and execution of dynamic adaptive systems",154,2009, Springer, … on Model Driven Engineering Languages and …,https://link.springer.com/chapter/10.1007/978-3-642-04425-0_47,10
50,"GT Leavens, AL Baker, C Ruby",JML: a Java modeling language,151,1998, Citeseer, … of Java Workshop (at OOPSLA'98),https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=397cb3c2ad6569aef081c282671d17937df483d0,6
40,"DE Smith, J Frank, W Cushing",The ANML language,148,2008, ktiml.mff.cuni.cz,08 Workshop on …,http://ktiml.mff.cuni.cz/~bartak/KEPS2008/download/paper07.pdf,9
